,Article_Topic,Article_Prefix,Article_Number,Article_Title,Chunk_Number,Chunk
74,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - Framework contracts,Article 26,26,Information for the payee on individual payment transactions,74,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - Framework contracts, Article: 26, Title: Information for the payee on individual payment transactions
(e)	the credit value date.
2.	A framework contract may include a condition that the information referred to in paragraph 1 is to be provided or made available periodically, at least once a month and in an agreed manner which allows the payee to store and reproduce information unchanged.
3.	Member States may require payment service providers to provide information on paper or on another durable medium at least once a month, free of charge.
4.	Member States shall by [ OP please insert the date = data of application of this Regulation] notify to the Commission the provisions of their law adopted pursuant to paragraph 3. They shall, without delay, notify any subsequent amendment to such provisions."
75,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - Framework contracts,Article 26,26,Information for the payee on individual payment transactions,75,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - Framework contracts, Article: 26, Title: Information for the payee on individual payment transactions
TITLE III"
76,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 27,27,Scope,76,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 27, Title: Scope
1.	Where the payment service user is not a consumer, the payment service user and the payment service provider may agree that Article 28(1), Article 49(7), and Articles 55, 60, 62, 63, 66, 75 and 76 do not apply in whole or in part. The payment service user and the payment service provider may also agree on time limits that are different from those laid down in Article 54.
2.	Member States may provide that Article 95 does not apply where the payment service user is not a consumer.
3.	Member States may provide that provisions in this Title are applied to microenterprises in the same way as to consumers.
4.	Member States shall [ OP please insert the date = data of application of this Regulation] notify to the Commission the provisions of their law adopted pursuant to paragraph 2 and 3. They shall, without delay, notify any subsequent amendment to such provisions."
77,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 28,28,Charges applicable,77,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 28, Title: Charges applicable
1.	The payment service provider shall not charge the payment service user for fulfilment of its information obligations or corrective and preventive measures under this Title, unless otherwise specified in Article 65(1), Article 66(5) and Article 74(4). Those charges shall be agreed between the payment service user and the payment service provider and shall be reasonable and in line with the payment service provider’s actual costs.
2.	For payment transactions provided within the Union, where both the payer’s and the payee’s payment service providers are, or the sole payment service provider in the payment transaction is, located in the Union, the payee shall pay the charges levied by his payment service provider, and the payer shall pay the charges levied by his payment service provider."
78,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 28,28,Charges applicable,78,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 28, Title: Charges applicable
3.	The payee shall not request charges for the use of payment instruments for which interchange fees are regulated under Chapter II of Regulation (EU) 2015/751 and for credit transfers, including instant credit transfers, and direct debit transactions within the Union. 
4.	Member States may extend the prohibition or limit the right of the payee to request charges for the use of payment instruments other than the ones referred to in paragraph 3, taking into account the need to encourage competition and promote the use of efficient payment instruments.
5.	Without prejudice to paragraphs 3 and 4 and for instruments not covered in those paragraphs, the payment service provider shall not prevent the payee from requesting from the payer a charge, offering him a reduction or otherwise steering the payer towards the use of a given payment instrument. Any charges applied shall not exceed the direct costs borne by the payee for the use of the specific payment instrument."
79,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 28,28,Charges applicable,79,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 28, Title: Charges applicable
6.	Member States shall [ OP please insert the date = data of application of this Regulation] notify to the Commission the provisions of their law adopted pursuant to paragraph 4. They shall, without delay, notify any subsequent amendment to such provisions."
80,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 29,29,Derogation for low value payment instruments and electronic,80,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 29, Title: Derogation for low value payment instruments and electronic
money
1.	In the case of payment instruments which, according to the framework contract, solely concern individual payment transactions not exceeding EUR 50 or which either have a spending limit of EUR 200, or store funds which do not exceed EUR 200 at any time, payment service providers may agree with their payment service users that:
(a)	Article 52, point (b), Article 53(1), points (c) and (d) , and Article 60(4) do not apply if the payment instrument does not allow its blocking or prevention of its further use;
(b)	Articles 55 and 56, and Article 60(1) and (4), do not apply if the payment instrument is used anonymously or the payment service provider is not in a position for other reasons which are intrinsic to the payment instrument to prove that a payment transaction was authorised;"
81,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 29,29,Derogation for low value payment instruments and electronic,81,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 29, Title: Derogation for low value payment instruments and electronic
(c)	by way of derogation from Article 65(1), the payment service provider is not required to notify the payment service user of the refusal of a payment order, if the non-execution is apparent from the context;
(d)	by way of derogation from Article 66, the payer shall not revoke the payment order after transmitting the payment order or authorising the payment transaction to the payee;
(e)	by way of derogation from Articles 69 and 70, other execution periods apply.
2.	Articles 56 and 60 shall apply also to electronic money, except where the payer’s payment service provider does not have the ability to freeze the payment account on which the electronic money is stored or block the payment instrument. Member States may limit that derogation to payment accounts on which the electronic money is stored or to payment instruments of a certain value."
82,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 29,29,Derogation for low value payment instruments and electronic,82,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 29, Title: Derogation for low value payment instruments and electronic
3.	Member States shall, by the date of application of this Regulation, notify to the Commission the provisions of their law adopted pursuant to paragraph 2. They shall, without delay, notify any subsequent amendment to such provisions."
83,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 30,30,Issuance and redeemability of electronic money,83,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 30, Title: Issuance and redeemability of electronic money
1.	Issuers of electronic money shall issue electronic money at par value on the receipt of funds.
2.	Upon request by the holder of the electronic money, the issuer of the electronic money shall redeem, at any moment and at par value, the monetary value of the electronic money held.
3.	The contract between the issuer of the electronic money and the holder of the electronic money shall clearly and prominently state the conditions of redemption, including any applicable fees, and the electronic money holder shall be informed of those conditions before being bound by any contract or offer.
4.	Redemption of electronic money may be subject to a fee only if stated in the contract in accordance with paragraph 3 and only in any of the following cases:
(a)	where the holder of electronic money requests redemption before the termination of the contract; 
(b)	where the contract provides for a termination date and the holder of electronic money terminates the contract before that date;"
84,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 30,30,Issuance and redeemability of electronic money,84,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 30, Title: Issuance and redeemability of electronic money
(b)	where the contract provides for a termination date and the holder of electronic money terminates the contract before that date; 
(c)	where redemption is requested more than one year after the date of termination of the contract. 
Any such fee shall be proportionate to and commensurate with the actual costs incurred by the electronic money issuer.
5.	Where the holder of electronic money requests redemption before the termination of the contract, the holder may request redemption of the electronic money in whole or in part.
6.	Where redemption is requested by the holder of the electronic money on the date of the termination of the contract, or up to one year after such termination, the issuer of the electronic money shall do either of the following: 
(a)	Redeem the total monetary value of the electronic money; or"
85,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 30,30,Issuance and redeemability of electronic money,85,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 30, Title: Issuance and redeemability of electronic money
(a)	Redeem the total monetary value of the electronic money; or 
(b)	Redeem all funds requested by the electronic money holder where the payment institution carries out one or more of the activities as referred to in Article 10(1)(c) of Directive XXX [PSD3] and it is unknown in advance what proportion of funds is to be used as electronic money by electronic money holders. 
7.	Notwithstanding paragraphs 4, 5 and 6, redemption rights of a person, other than a consumer, who accepts electronic money shall be subject to the contractual agreement between the electronic money issuer and that person.
8.	A payment institution providing electronic money services shall not grant to the holder of electronic money interest or any other benefit related to the length of time during which he or she holds the electronic money."
86,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions,Article 30,30,Issuance and redeemability of electronic money,86,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Common provisions, Article: 30, Title: Issuance and redeemability of electronic money
CHAPTER 2"
87,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 31,31,Access to payment systems,87,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 31, Title: Access to payment systems
1.	Payment system operators shall have in place objective non-discriminatory, transparent and proportionate rules on access to a payment system by authorised or registered payment service providers that are legal persons. Payment system operators shall not inhibit access to a payment system more than is necessary to safeguard against specific risks, including where applicable settlement risk, operational risk, credit risk, liquidity risk and business risk or more than is necessary to protect the financial and operational stability of the payment system.
2.	A payment system operator shall make publicly available its rules and procedures for admission to participation to that payment system and the criteria and methodology it uses for risk assessment of applicants for participation."
88,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 31,31,Access to payment systems,88,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 31, Title: Access to payment systems
3.	Upon receiving an application for participation by a payment service provider, a payment system operator shall assess the relevant risks of granting the applicant payment service provider access to the system. A payment system operator shall only refuse participation to an applicant payment service provider where the applicant poses risks to the system, as referred to in paragraph 1. The payment system operator shall notify that applicant payment service provider in writing whether the request for participation is granted or refused and shall provide full reasons for any refusal.
4.	Paragraphs 1, 2 and 3 shall not apply to payment systems composed exclusively of payment service providers belonging to the same group.
5.	Payment system operators shall not have in place any of the following requirements:
(a)	restrictive rules on effective membership in other payment systems;"
89,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 31,31,Access to payment systems,89,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 31, Title: Access to payment systems
5.	Payment system operators shall not have in place any of the following requirements:
(a)	restrictive rules on effective membership in other payment systems;
(b)	rules which discriminate between authorised payment service providers or between registered payment service providers in relation to the rights, obligations and entitlements of members;
(c)	restrictions on the basis of institutional status.
6.	A participant of a payment system that allows an authorised or registered payment service provider that is not a participant of the payment system to pass transfer orders through that payment system shall, when requested, give the same possibility to other authorised or registered payment service providers in an objective, proportionate, transparent and non-discriminatory manner. In case of a rejection of such request, the participant of a payment system shall provide any requesting payment service provider with full reasons for such rejection."
90,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 31,31,Access to payment systems,90,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 31, Title: Access to payment systems
7.	For payment systems that are not covered by Eurosystem oversight, pursuant to Regulation (EU) No 795/2014, Member States shall designate a competent authority responsible for oversight of payment systems to ensure enforcement of paragraphs 1 2, 3, 5 and 6 by payment systems governed by their national law."
91,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 32,32,Provision by credit institutions of payment accounts to payment institutions,91,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 32, Title: Provision by credit institutions of payment accounts to payment institutions
1.	A credit institution shall only refuse to open or shall only close a payment account for a payment institution for its agents or distributors or for an applicant for a license as a payment institution in the following cases:
(a)	The credit institution has serious grounds to suspect defective money laundering or terrorism financing controls by the applicant or that illegal activities are being committed either by the applicant or its customers;
(b)	there is or has been a breach of contract committed by the applicant for an account;
(c)	insufficient information and documents have been received from the applicant for an account;
(d)	the applicant for an account or its business model presents an excessive risk profile;
(e)	the applicant for an account would present a disproportionately high compliance cost for the credit institution."
92,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 32,32,Provision by credit institutions of payment accounts to payment institutions,92,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 32, Title: Provision by credit institutions of payment accounts to payment institutions
(e)	the applicant for an account would present a disproportionately high compliance cost for the credit institution. 
2.	Rights granted under paragraph 1 to agents or distributors shall be granted exclusively for the provision of payment services on behalf of the payment institution.
3.	A credit institution shall notify to the payment institution or to its agents or distributors, or to the applicant for a license as a payment institution, any decision to refuse to open or to close a payment account to a payment institution or to its agents or distributors, or to an applicant for a license as a payment institution; it shall duly motivate any such decision.  Such motivation must be specific to the risks posed by the activity or planned activity of that payment institution or of its agents or distributors, as assessed by the credit institution, and not be generic in nature."
93,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 32,32,Provision by credit institutions of payment accounts to payment institutions,93,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 32, Title: Provision by credit institutions of payment accounts to payment institutions
4.	A payment institution or its agents or distributors, or an applicant for a license as a payment institution which is the subject of a negative decision by a credit institution on access or of a decision on closure from payment accounts services may appeal to a competent authority.
5.	The EBA shall develop draft regulatory technical standards specifying the harmonised format and information to be contained in the notification and motivation referred to in paragraph 3 of this Article.
The EBA shall submit the draft regulatory technical standards referred to in the first subparagraph to the Commission by [ OP please insert the date= one year after the date of entry into force of this Regulation]. Power is delegated to the Commission to adopt the regulatory technical standards referred to in the first subparagraph in accordance with Articles 10 to 14 of Regulation (EU) No 1093/2010."
94,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions,Article 32,32,Provision by credit institutions of payment accounts to payment institutions,94,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Access to payment systems and to accounts maintained with credit institutions, Article: 32, Title: Provision by credit institutions of payment accounts to payment institutions
Chapter 3"
95,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 33,33,Rights of payment service users,95,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 33, Title: Rights of payment service users
1.	Payment service providers shall not prevent payment service users from making use of a payment initiation service provider to obtain payment initiation services as referred to in point (6) of Annex I. That obligation shall apply to all the payment accounts held by the payment service user that are accessible online.
2.	Payment service providers shall not prevent payment service users from making use of account information services as referred to in point (7) of Annex I. That obligation shall apply to all the payment accounts held by the payment service user that are accessible online."
96,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 34,34,Contractual relations,96,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 34, Title: Contractual relations
1.	The provision of account information services and payment initiation services shall not be conditioned by any party on the existence of a contractual relationship to that end between providers of such services and an account servicing payment service provider. 
2.	Where a multilateral contractual arrangement is in place and where the same payment account data as regulated under this Regulation is also available in the framework of that multilateral contractual arrangement, access by account information and payment initiation service providers to payment account data regulated under this Regulation shall always be possible without the need to be part of such multilateral contractual arrangement.

SECTION 2
DATA ACCESS INTERFACES FOR ACCOUNT INFORMATION SERVICES AND PAYMENT INITIATION SERVICES"
97,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 35,35,Provision of dedicated access interfaces,97,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 35, Title: Provision of dedicated access interfaces
1.	Account servicing payment service providers that offer to a payer a payment account that is accessible online shall have in place at least one dedicated interface for the purpose of data exchange with account information and payment initiation service providers.
2.	Without prejudice to Articles 38 and 39, account servicing payment service providers that offer to a payer a payment account that is accessible online and have put in place a dedicated interface as referred to in paragraph 1 of this Article, shall not be obliged to also maintain permanently another interface as fall-back for the purpose of data exchange with account information and payment initiation service providers."
98,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 35,35,Provision of dedicated access interfaces,98,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 35, Title: Provision of dedicated access interfaces
3.	Account servicing payment service providers shall ensure that their dedicated interfaces referred to in paragraph 1 use standards of communication which are issued by European or international standardisation organisations including the European Committee for Standardization (CEN) or the International Organization for Standardization (ISO). Account servicing payment service providers shall also ensure that the technical specifications of any of the dedicated interfaces referred to in paragraph 1 are documented specifying a set of routines, protocols and tools needed by payment initiation service providers and account information service providers for allowing their software and applications to interoperate with the systems of the account servicing payment service provider. Account servicing payment service providers shall make the documentation on technical specifications of their dedicated interfaces referred to in paragraph 1 available, at no charge and without delay, upon"
99,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 35,35,Provision of dedicated access interfaces,99,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 35, Title: Provision of dedicated access interfaces
servicing payment service providers shall make the documentation on technical specifications of their dedicated interfaces referred to in paragraph 1 available, at no charge and without delay, upon request by authorised payment initiation service providers, account information service providers or by payment service providers that have applied to their competent authorities for the relevant authorisation and shall make a summary of that documentation publicly available on their website."
100,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 35,35,Provision of dedicated access interfaces,100,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 35, Title: Provision of dedicated access interfaces
4.	Account servicing payment service providers shall ensure that, except for emergency situations which prevent them from doing so, any change to the technical specifications of their dedicated interface referred to in paragraph 1 is made available to authorised payment initiation service providers, account information service providers, or payment service providers that have applied to their competent authorities for the relevant authorisation, in advance, as soon as possible and not less than 3 months before the change is implemented. Account servicing payment service providers shall document emergency situations where changes were implemented without such advance information and make the documentation available to competent authorities on request."
101,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 35,35,Provision of dedicated access interfaces,101,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 35, Title: Provision of dedicated access interfaces
5.	Account servicing payment service providers shall publish on their website quarterly statistics on the availability and performance of their dedicated interface. The performance of the dedicated interfaces shall be measured by the number of successful account information requests over the total number of account information requests, and by the number and transaction volume of the successful payment initiation requests over the total number and transaction volume of the total number of payment initiation requests."
102,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 35,35,Provision of dedicated access interfaces,102,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 35, Title: Provision of dedicated access interfaces
6.	Account servicing payment service providers shall make available a testing facility, including support, for connection to the dedicated interfaces and functional testing to enable authorised payment initiation service providers and account information service providers, or payment service providers that have applied for the relevant authorisation, to test their software and applications used for offering a payment service to users. No sensitive payment data or any other personal data shall be shared through the testing facility.
7.	In case of an unexpected event or error occurring during the process of identification, authentication, or the exchange of the data elements via the dedicated interface, the account servicing payment service provider shall provide for notification messages to the payment initiation service provider or the account information service provider which explains the reason for the unexpected event or error."
103,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 36,36,Requirements regarding dedicated data access interfaces,103,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 36, Title: Requirements regarding dedicated data access interfaces
1.	Account servicing payment service providers shall ensure that the dedicated interface referred to in Article 35(1) meets the following security and performance requirements:
(a)	the dedicated interface shall establish and maintain communication sessions between the account servicing payment service provider, the account information service provider, the payment initiation service provider and any payment service user concerned throughout the authentication of the payment service user; 
(b)	the dedicated interface shall ensure the integrity and confidentiality of the personalised security credentials and of authentication codes transmitted by or through the payment initiation service provider or the account information service provider;"
104,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 36,36,Requirements regarding dedicated data access interfaces,104,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 36, Title: Requirements regarding dedicated data access interfaces
(c)	the response time of the dedicated interface to account information service providers’ and payment initiation service providers’ access requests shall not be longer than the response time of the interface that the account servicing payment service provider makes available to its payment service users for directly accessing their payment account online.
2.	Account servicing payment service providers shall ensure that the dedicated interface referred to in Article 35(1) allows both account information service providers and payment initiation service providers to:
(a)	identify themselves towards the account servicing payment service provider;
(b)	instruct the account servicing payment service provider to start the authentication based on the permission of the payment service user given to the account information service provider or the payment initiation service providers in accordance with Article 49(2);"
105,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 36,36,Requirements regarding dedicated data access interfaces,105,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 36, Title: Requirements regarding dedicated data access interfaces
(c)	make use, in a non-discriminatory manner, of any authentication exemptions applied by the account servicing payment service provider;
(d)	see, prior to initiation of the payment in the case of payment initiation service providers, the unique identifier of the account, the associated names of the account holder and the currencies as available to the payment service user.
3.	Account servicing payment service providers shall allow account information service providers to communicate securely, via the dedicated interface, to request and receive information on one or more designated payment accounts and associated payment transactions.
4.	Account servicing payment service providers shall ensure that the dedicated interface allows payment initiation service providers, at a minimum, to:
(a)	place and revoke a standing payment order or a  direct debit;
(b)	initiate a single payment;
(c)	initiate and revoke a future dated payment;
(d)	initiate payments to multiple beneficiaries;"
106,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 36,36,Requirements regarding dedicated data access interfaces,106,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 36, Title: Requirements regarding dedicated data access interfaces
(a)	place and revoke a standing payment order or a  direct debit;
(b)	initiate a single payment;
(c)	initiate and revoke a future dated payment;
(d)	initiate payments to multiple beneficiaries;
(e)	initiate payments, regardless of whether the payee is on the payer’s beneficiaries list;
(f)	communicate securely to place a payment order from the payer's payment account and receive all information on the initiation of the payment transaction and all information accessible to the account servicing payment service provider regarding the execution of the payment transaction; 
(g)	verify the name of the account holder before the payment is initiated and regardless of whether the name of the account holder is available via the direct interface;
(h)	initiate a payment with one single strong customer authentication, provided the payment initiation service provider has provided the account servicing payment service provider with all of the following: 
(i) the payer’s unique identifier,"
107,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 36,36,Requirements regarding dedicated data access interfaces,107,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 36, Title: Requirements regarding dedicated data access interfaces
(i) the payer’s unique identifier, 
(ii) the payee’s legal and commercial name and ‘unique identifier’, 
(iii) a transaction reference, 
(iv) the payment amount and the currency of the payment, based on which the single strong customer authentication is triggered.
5.	Account servicing payment service providers shall ensure that the dedicated interface provides to payment initiation service providers:
(a)	the immediate confirmation, upon request, in a simple ‘yes’ or ‘no’ format, of whether the amount necessary for the execution of a payment transaction is available on the payment account of the payer; 
(b)	the confirmation from the account servicing payment service provider that the payment will be executed on the basis of the information available to the account servicing payment service provider, taking into account any pre-existing payment orders that might affect the full execution of the payment order being placed."
108,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 36,36,Requirements regarding dedicated data access interfaces,108,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 36, Title: Requirements regarding dedicated data access interfaces
The information referred to in point (b) shall not be shared with the payment   initiation service provider but may be used by the account servicing payment service provider in order to provide confirmation of the execution of the operation."
109,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 37,37,Data access parity between dedicated access interface and customer interface,109,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 37, Title: Data access parity between dedicated access interface and customer interface
1.	Without prejudice to Article 36, account servicing payment service providers shall ensure that their dedicated interface referred to in Article 35(1) offers at all times at least the same level of availability and performance, including technical and IT support, as the interfaces that account servicing payment service providers make available to the payment service user for directly accessing its payment account online.
2.	Account servicing payment service providers shall provide account information services providers with at least the same information from designated payment accounts and associated payment transactions made available to the payment service user when directly requesting access to the account information, provided that this information does not include sensitive payment data."
110,RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services,Article 37,37,Data access parity between dedicated access interface and customer interface,110,"Topic: RIGHTS AND OBLIGATIONS IN RELATION TO THE PROVISION AND USE OF PAYMENT SERVICES - Account information services and payment initiation services, Article: 37, Title: Data access parity between dedicated access interface and customer interface
3.	Account servicing payment service providers shall provide payment initiation service providers with at least the same information on the initiation and execution of the payment transaction provided or made available to the payment service user when the transaction is initiated directly by the payment service user. That information shall be provided immediately after receipt of the payment order and on an ongoing basis until the payment is final."
